game_title,user_review_count,critic_review_count,developer,platforms,platform_count,Avg_Rank,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Total_Sales,metascore,Difficulty_Easy,Difficulty_Just_Right,Difficulty_Simple,Difficulty_Tough,Difficulty_Unforgiving,Play Time_<_1_Hour,Play Time_>=_80_Hours,Play Time_~1_Hour,Play Time_~12_Hours,Play Time_~2_Hours,Play Time_~20_Hours,Play Time_~4_Hours,Play Time_~40_Hours,Play Time_~60_Hours,Play Time_~8_Hours,Completion_Beat_It,Completion_Conquered_It,Completion_Halfway,Completion_Played_It,Completion_Tried_It,vader_sentiment_mean,textblob_sentiment_mean,hf_sentiment_mean,global_user_score_mean,user_score_mean,composite_sentiment_correlation_user_mean,composite_sentiment_correlation_global_mean,composite_sentiment_confidence_mean,composite_sentiment_adaptive_mean
wipeout fusion,24.0,21.0,Studio Liverpool,playstation-2,1.0,6672.0,2002,Racing,Sony,0.12,0.1,0.0,0.03,0.25,83,2.27,53.41,1.14,39.77,3.41,0.0,10.26,0.0,20.51,0.0,35.9,2.56,25.64,2.56,2.56,19.76,16.77,11.98,27.54,23.95,0.81,0.192,0.003,8.3,7.5,0.322,0.287,0.309,0.329
wipeout hd fury,115.0,15.0,Studio Liverpool,playstation-3,1.0,11702.0,2009,Racing,Sony,0.0,0.06,0.0,0.02,0.08,89,2.91,25.95,0.89,54.59,15.66,1.67,17.5,1.67,7.5,1.67,20.83,5.0,27.5,14.17,2.5,14.64,5.29,14.83,39.0,26.25,0.419,0.167,0.221,8.0,8.077,0.267,0.257,0.288,0.318
wipeout pulse,39.0,40.0,Studio Liverpool,psp,1.0,4873.0,2009,Racing,Sony,0.13,0.27,0.0,0.39,0.79,82,4.07,56.1,0.0,34.15,5.69,0.0,15.69,1.96,9.8,0.0,25.49,3.92,31.37,5.88,5.88,17.94,14.12,13.74,32.44,21.76,0.971,0.153,0.971,8.3,9.25,0.705,0.692,0.723,0.912
wipeout pure,71.0,56.0,Studio Liverpool,psp,1.0,2013.0,2005,Racing,Sony,0.47,0.34,0.0,0.22,1.03,88,1.92,56.41,1.28,37.18,3.21,0.0,5.8,1.45,21.74,0.0,14.49,2.9,31.88,4.35,17.39,20.41,13.61,14.5,31.66,19.82,0.615,0.19,0.634,8.3,8.455,0.484,0.477,0.514,0.623
wizardry: tale of the forsaken land,4.0,14.0,Racjin,playstation-2,1.0,11222.0,2001,Role-Playing,Ubisoft,0.04,0.03,0.0,0.01,0.08,70,2.44,60.98,1.22,30.49,4.88,0.0,34.78,0.0,2.17,0.0,8.7,4.35,23.91,26.09,0.0,26.79,17.26,12.5,20.83,22.62,0.936,0.218,-0.133,7.0,9.0,0.323,0.279,0.355,0.368
wolfenstein,101.0,66.0,id Software,"playstation-3, xbox-360, pc",3.0,6721.33,2009,Shooter,Activision,0.54,0.53,0.0,0.18,1.25,72,11.96,78.95,0.48,7.66,0.96,0.0,2.5,0.0,36.25,0.0,34.38,3.75,3.75,0.63,18.75,56.01,19.59,8.59,8.25,7.56,0.429,0.066,0.149,7.299,7.413,0.212,0.197,0.21,0.26
wolfenstein 3d,38.0,10.0,Nerve Software,"playstation-3, xbox-360, game-boy-advance",3.0,8422.0,2002,Shooter,BAM! Entertainment,0.12,0.04,0.0,0.0,0.16,66,4.4,59.84,0.52,32.38,2.85,1.29,3.02,1.72,27.59,1.72,29.74,6.9,8.19,0.43,19.4,42.13,19.87,8.27,21.46,8.27,0.296,0.091,0.141,7.664,7.364,0.175,0.166,0.167,0.162
wolfenstein: the new order,2016.0,73.0,MachineGames,"playstation-3, xbox-360, playstation-4, xbox-one, pc",5.0,3417.0,2014,Shooter,Bethesda Softworks,1.24,1.81,0.05,0.53,3.63,79,4.79,77.21,1.02,16.26,0.73,0.61,1.01,0.2,26.52,0.4,59.51,1.01,5.87,0.61,4.25,52.21,23.6,8.82,11.92,3.46,0.439,0.087,0.255,7.744,7.494,0.259,0.248,0.258,0.301
wolfenstein: the old blood,627.0,55.0,MachineGames,"playstation-4, xbox-one, pc",3.0,8288.67,2015,Action,Bethesda Softworks,0.16,0.4,0.02,0.0699999999999999,0.65,76,3.64,78.14,0.4,16.6,1.21,0.0,1.02,1.02,42.86,1.02,18.37,2.55,3.06,0.0,30.1,55.91,20.45,7.35,10.54,5.75,0.48,0.103,0.12,7.665,7.469,0.229,0.212,0.236,0.27
world championship poker: deluxe series,0.0,8.0,Coresoft,playstation-2,1.0,11641.0,2005,Misc,505 Games,0.07,0.0,0.0,0.01,0.08,60,22.22,55.56,5.56,16.67,0.0,0.0,0.0,0.0,40.0,0.0,30.0,10.0,20.0,0.0,0.0,32.35,2.94,11.76,26.47,26.47,-0.527,0.0,-0.987,10.0,10.0,-0.52,-0.524,-0.498,-0.827
