platform,game_title,user_positive_count,user_positive_percent,user_mixed_count,user_mixed_percent,user_negative_count,user_negative_percent,critic_positive_count,critic_positive_percent,critic_mixed_count,critic_mixed_percent,critic_negative_count,critic_negative_percent
playstation-2,kingdom hearts,961,-84%,114,-10%,69,-6%,43,-93%,3,-7%,0,0%
playstation-3,littlebigplanet,1.1k,-74%,311,-20%,85,-6%,85,-100%,0,0%,0,0%
psp,littlebigplanet,83,-66%,30,-24%,13,-10%,66,-97%,2,-3%,0,0%
playstation-2,dynasty warriors 5: xtreme legends,7,-54%,1,-8%,5,-38%,1,-5%,16,-73%,5,-23%
xbox-360,left 4 dead,401,-72%,131,-24%,23,-4%,66,-99%,1,-1%,0,0%
pc,left 4 dead,1.1k,-78%,263,-18%,68,-5%,57,-98%,1,-2%,0,0%
ds,the sims 2: apartment pets,0,0%,0,0%,4,-100%,0,0%,8,-67%,4,-33%
pc,east india company,6,-30%,8,-40%,6,-30%,6,-21%,20,-71%,2,-7%
playstation-3,disgaea d2: a brighter darkness,53,-79%,8,-12%,6,-9%,24,-65%,13,-35%,0,0%
wii,rockstar games presents table tennis,3,-38%,4,-50%,1,-13%,10,-28%,25,-69%,1,-3%
xbox-360,rockstar games presents table tennis,29,-64%,11,-24%,5,-11%,65,-87%,10,-13%,0,0%
pc,silent hunter 5: battle of the atlantic,18,-39%,9,-20%,19,-41%,6,-23%,18,-69%,2,-8%
playstation-3,aquapazza: aquaplus dream match,15,-65%,6,-26%,2,-9%,6,-46%,7,-54%,0,0%
playstation-2,devil may cry 3: dante's awakening,522,-89%,38,-7%,24,-4%,53,-88%,6,-10%,1,-2%
ds,tony hawk's american sk8land,23,-66%,4,-11%,8,-23%,26,-84%,5,-16%,0,0%
game-boy-advance,tony hawk's american sk8land,N/A,N/A,N/A,N/A,N/A,N/A,1,-14%,6,-86%,0,0%
wii,pandora's tower,102,-79%,17,-13%,10,-8%,28,-58%,20,-42%,0,0%
playstation-2,god of war ii,2.0k,-92%,127,-6%,52,-2%,69,-99%,1,-1%,0,0%
3ds,super mario 3d land,1.3k,-81%,230,-14%,68,-4%,81,-99%,1,-1%,0,0%
playstation-2,ty the tasmanian tiger 2: bush rescue,18,-72%,6,-24%,1,-4%,7,-29%,17,-71%,0,0%
xbox,ty the tasmanian tiger 2: bush rescue,4,-50%,4,-50%,0,0%,9,-31%,20,-69%,0,0%
game-boy-advance,ty the tasmanian tiger 2: bush rescue,0,0%,4,-100%,0,0%,1,-14%,6,-86%,0,0%
gamecube,ty the tasmanian tiger 2: bush rescue,11,-69%,4,-25%,1,-6%,8,-40%,12,-60%,0,0%
playstation-2,mojo!,N/A,N/A,N/A,N/A,N/A,N/A,1,-14%,6,-86%,0,0%
pc,serious sam ii,139,-48%,125,-43%,26,-9%,16,-52%,15,-48%,0,0%
wii-u,serious sam ii,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
playstation-3,time crisis 4,4,-31%,6,-46%,3,-23%,8,-15%,35,-67%,9,-17%
pc,ford racing 2,5,-83%,1,-17%,0,0%,N/A,N/A,N/A,N/A,N/A,N/A
playstation-2,ford racing 2,12,-67%,4,-22%,2,-11%,1,-20%,1,-20%,3,-60%
wii,mysims party,1,-20%,2,-40%,2,-40%,1,-6%,13,-81%,2,-13%
pc,broken sword 5: the serpent's curse,120,-67%,47,-26%,11,-6%,16,-41%,23,-59%,0,0%
3ds,broken sword 5: the serpent's curse,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
playstation-3,lair,27,-44%,18,-30%,16,-26%,6,-11%,32,-58%,17,-31%
playstation-2,singstar legends,2,-50%,2,-50%,0,0%,18,-72%,7,-28%,0,0%
wii-u,wii party u,92,-53%,57,-33%,25,-14%,11,-29%,24,-63%,3,-8%
playstation-2,magna carta: tears of blood,7,-41%,4,-24%,6,-35%,10,-29%,19,-56%,5,-15%
pc,the operative: no one lives forever,209,-88%,18,-8%,11,-5%,32,-100%,0,0%,0,0%
playstation-2,the operative: no one lives forever,10,-77%,3,-23%,0,0%,6,-26%,15,-65%,2,-9%
playstation-3,blazblue: calamity trigger,43,-75%,9,-16%,5,-9%,47,-94%,3,-6%,0,0%
xbox-360,blazblue: calamity trigger,28,-80%,4,-11%,3,-9%,49,-96%,2,-4%,0,0%
pc,blazblue: calamity trigger,29,-74%,9,-23%,1,-3%,N/A,N/A,N/A,N/A,N/A,N/A
psp,blazblue: calamity trigger,11,-65%,4,-24%,2,-12%,13,-93%,1,-7%,0,0%
playstation-3,f.e.a.r. 2: project origin,52,-63%,26,-32%,4,-5%,38,-79%,10,-21%,0,0%
xbox-360,f.e.a.r. 2: project origin,70,-63%,39,-35%,3,-3%,50,-74%,18,-26%,0,0%
pc,f.e.a.r. 2: project origin,265,-56%,182,-38%,26,-5%,39,-80%,10,-20%,0,0%
wii,major league baseball 2k8,N/A,N/A,N/A,N/A,N/A,N/A,0,0%,10,-100%,0,0%
playstation-2,major league baseball 2k8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
psp,major league baseball 2k8,N/A,N/A,N/A,N/A,N/A,N/A,0,0%,5,-100%,0,0%
playstation-4,edna & harvey: harvey's new eyes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
xbox-one,edna & harvey: harvey's new eyes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
pc,edna & harvey: harvey's new eyes,80,-71%,24,-21%,8,-7%,11,-58%,8,-42%,0,0%
xbox-one,sunset overdrive,1.2k,-76%,177,-11%,202,-13%,72,-81%,17,-19%,0,0%
pc,sunset overdrive,98,-64%,36,-24%,18,-12%,4,-100%,0,0%,0,0%
pc,battlefield vietnam,100,-65%,44,-29%,9,-6%,45,-94%,3,-6%,0,0%
xbox-one,fighter within,50,-23%,6,-3%,160,-74%,0,0%,1,-3%,38,-97%
xbox-360,velvet assassin,12,-44%,8,-30%,7,-26%,5,-11%,33,-72%,8,-17%
pc,velvet assassin,32,-37%,32,-37%,23,-26%,7,-24%,16,-55%,6,-21%
pc,hospital tycoon,4,-20%,6,-30%,10,-50%,0,0%,5,-63%,3,-38%
playstation-3,wet,26,-39%,30,-45%,11,-16%,23,-38%,36,-59%,2,-3%
xbox-360,wet,28,-43%,32,-49%,5,-8%,25,-32%,54,-68%,0,0%
playstation-2,medal of honor: european assault,37,-65%,15,-26%,5,-9%,19,-58%,12,-36%,2,-6%
xbox,medal of honor: european assault,12,-60%,7,-35%,1,-5%,25,-60%,15,-36%,2,-5%
gamecube,medal of honor: european assault,3,-38%,4,-50%,1,-13%,13,-59%,7,-32%,2,-9%
game-boy-advance,star wars episode ii: attack of the clones,2,-15%,3,-23%,8,-62%,0,0%,6,-43%,8,-57%
wii,brothers in arms ds,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
wii,rainbow islands revolution,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
pc,disciples iii: renaissance,20,-20%,43,-42%,39,-38%,6,-17%,21,-58%,9,-25%
playstation-2,monster hunter,23,-64%,7,-19%,6,-17%,15,-41%,19,-51%,3,-8%
playstation-2,ico,434,-83%,66,-13%,26,-5%,59,-100%,0,0%,0,0%
wii-u,the wonderful 101,475,-86%,34,-6%,41,-7%,52,-69%,23,-31%,0,0%
pc,indiana jones and the emperor's tomb,45,-70%,14,-22%,5,-8%,7,-47%,7,-47%,1,-7%
playstation-2,indiana jones and the emperor's tomb,12,-86%,1,-7%,1,-7%,7,-41%,8,-47%,2,-12%
xbox,indiana jones and the emperor's tomb,14,-74%,3,-16%,2,-11%,24,-56%,17,-40%,2,-5%
playstation-2,king arthur,9,-64%,5,-36%,0,0%,1,-5%,15,-68%,6,-27%
xbox,king arthur,N/A,N/A,N/A,N/A,N/A,N/A,2,-13%,11,-73%,2,-13%
xbox-360,kinect adventures!,45,-32%,75,-53%,22,-15%,5,-11%,35,-78%,5,-11%
wii,final fantasy crystal chronicles: echoes of time,2,-25%,4,-50%,2,-25%,7,-24%,19,-66%,3,-10%
ds,final fantasy crystal chronicles: echoes of time,14,-58%,8,-33%,2,-8%,24,-65%,12,-32%,1,-3%
wii,brothers in arms: double time,1,-25%,1,-25%,2,-50%,0,0%,4,-31%,9,-69%
game-boy-advance,mega man zero 3,57,-83%,2,-3%,10,-14%,12,-57%,9,-43%,0,0%
3ds,fire emblem: awakening,1.5k,-90%,83,-5%,86,-5%,72,-100%,0,0%,0,0%
pc,clockwork empires,2,-25%,0,0%,6,-75%,1,-11%,6,-67%,1,-11%
wii,fragile dreams: farewell ruins of the moon,38,-81%,7,-15%,2,-4%,11,-27%,28,-68%,2,-5%
playstation-2,monster jam: maximum destruction,0,0%,3,-75%,1,-25%,0,0%,4,-36%,7,-64%
ds,inazuma eleven,34,-77%,6,-14%,4,-9%,6,-55%,5,-45%,0,0%
3ds,inazuma eleven,55,-71%,16,-21%,7,-9%,8,-53%,7,-47%,0,0%
wii,sonic & sega all-stars racing,33,-77%,9,-21%,1,-2%,19,-90%,2,-10%,0,0%
playstation-3,sonic & sega all-stars racing,49,-80%,11,-18%,1,-2%,31,-70%,13,-30%,0,0%
xbox-360,sonic & sega all-stars racing,63,-80%,14,-18%,2,-3%,45,-75%,14,-23%,1,-2%
pc,sonic & sega all-stars racing,44,-88%,6,-12%,0,0%,1,-25%,3,-75%,0,0%
ds,sonic & sega all-stars racing,13,-65%,6,-30%,1,-5%,16,-80%,4,-20%,0,0%
wii,combat of giants: dinosaurs 3d,2,-50%,1,-25%,1,-25%,N/A,N/A,N/A,N/A,N/A,N/A
3ds,combat of giants: dinosaurs 3d,4,-36%,3,-27%,4,-36%,0,0%,7,-39%,11,-61%
playstation-3,50 cent: blood on the sand,8,-22%,19,-53%,9,-25%,17,-46%,20,-54%,0,0%
xbox-360,50 cent: blood on the sand,18,-33%,27,-49%,10,-18%,23,-43%,31,-57%,0,0%
playstation-3,wolfenstein 3d,18,-64%,7,-25%,3,-11%,3,-50%,3,-50%,0,0%
xbox-360,wolfenstein 3d,24,-63%,12,-32%,2,-5%,4,-40%,4,-40%,2,-20%
game-boy-advance,wolfenstein 3d,9,-60%,6,-40%,0,0%,0,0%,8,-89%,1,-11%
playstation-2,godai: elemental force,2,-33%,0,0%,4,-67%,0,0%,0,0%,10,-100%
pc,men of valor,8,-35%,9,-39%,6,-26%,12,-44%,15,-56%,0,0%
