platform,game_title,user_positive_count,user_positive_percent,user_mixed_count,user_mixed_percent,user_negative_count,user_negative_percent,critic_positive_count,critic_positive_percent,critic_mixed_count,critic_mixed_percent,critic_negative_count,critic_negative_percent
xbox,nba street vol. 2,5,-63%,0,0%,3,-38%,21,-95%,1,-5%,0,0%
gamecube,nba street vol. 2,5,-71%,1,-14%,1,-14%,16,-100%,0,0%,0,0%
wii,shaun white skateboarding,0,0%,5,-83%,1,-17%,1,-17%,5,-83%,0,0%
playstation-3,shaun white skateboarding,4,-50%,2,-25%,2,-25%,3,-12%,19,-73%,4,-15%
xbox-360,shaun white skateboarding,4,-50%,0,0%,4,-50%,4,-12%,27,-79%,3,-9%
pc,shaun white skateboarding,2,-33%,4,-67%,0,0%,N/A,N/A,N/A,N/A,N/A,N/A
psp,rock band unplugged,25,-86%,2,-7%,2,-7%,40,-80%,10,-20%,0,0%
playstation-2,crash nitro kart,88,-62%,48,-34%,6,-4%,9,-38%,13,-54%,2,-8%
xbox,crash nitro kart,20,-71%,4,-14%,4,-14%,6,-43%,7,-50%,1,-7%
game-boy-advance,crash nitro kart,18,-72%,6,-24%,1,-4%,5,-83%,1,-17%,0,0%
gamecube,crash nitro kart,10,-59%,6,-35%,1,-6%,2,-20%,7,-70%,1,-10%
wii-u,kakuto chojin,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
playstation-3,silent hill: homecoming,75,-34%,91,-41%,54,-25%,18,-44%,23,-56%,0,0%
xbox-360,silent hill: homecoming,75,-38%,85,-43%,38,-19%,23,-43%,30,-56%,1,-2%
pc,silent hill: homecoming,71,-37%,68,-35%,55,-28%,4,-29%,10,-71%,0,0%
playstation-2,black,186,-84%,29,-13%,7,-3%,48,-77%,13,-21%,1,-2%
xbox,black,60,-74%,16,-20%,5,-6%,48,-74%,15,-23%,2,-3%
game-boy-advance,naruto: ninja council,1,-14%,5,-71%,1,-14%,2,-17%,6,-50%,4,-33%
xbox-360,gun,38,-62%,20,-33%,3,-5%,32,-60%,20,-38%,1,-2%
pc,gun,108,-69%,46,-29%,2,-1%,15,-63%,9,-38%,0,0%
playstation-2,gun,68,-85%,12,-15%,0,0%,29,-67%,14,-33%,0,0%
xbox,gun,26,-74%,7,-20%,2,-6%,42,-76%,13,-24%,0,0%
psp,gun,22,-81%,5,-19%,0,0%,22,-54%,18,-44%,1,-2%
gamecube,gun,10,-83%,1,-8%,1,-8%,18,-67%,9,-33%,0,0%
playstation-3,dishonored,717,-75%,145,-15%,90,-9%,35,-100%,0,0%,0,0%
xbox-360,dishonored,1.2k,-79%,216,-14%,107,-7%,54,-96%,2,-4%,0,0%
pc,dishonored,4.4k,-82%,709,-13%,227,-4%,29,-100%,0,0%,0,0%
xbox-360,rpg maker 3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
psp,the 3rd birthday,73,-46%,41,-26%,45,-28%,24,-43%,29,-52%,3,-5%
xbox-360,god hand,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
xbox-360,headhunter: redemption,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
wii-u,headhunter: redemption,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
wii,monopoly streets,1,-17%,3,-50%,2,-33%,0,0%,9,-100%,0,0%
playstation-3,monopoly streets,3,-25%,5,-42%,4,-33%,3,-27%,7,-64%,1,-9%
xbox-360,monopoly streets,7,-44%,5,-31%,4,-25%,5,-28%,12,-67%,1,-6%
wii,big brain academy: wii degree,7,-44%,7,-44%,2,-13%,8,-24%,22,-67%,3,-9%
playstation-3,dead island: riptide,62,-37%,58,-35%,46,-28%,4,-16%,19,-76%,2,-8%
xbox-360,dead island: riptide,94,-38%,97,-39%,59,-24%,7,-16%,28,-65%,8,-19%
pc,dead island: riptide,179,-35%,199,-39%,133,-26%,8,-23%,22,-63%,5,-14%
ds,pokemon trozei!,11,-65%,6,-35%,0,0%,16,-50%,15,-47%,1,-3%
playstation-3,dragon age ii,386,-31%,187,-15%,675,-54%,44,-85%,8,-15%,0,0%
xbox-360,dragon age ii,875,-33%,507,-19%,1.3k,-48%,55,-73%,19,-25%,1,-1%
pc,dragon age ii,1.4k,-28%,1.2k,-24%,2.5k,-48%,38,-84%,7,-16%,0,0%
3ds,gabrielle's ghostly groove 3d,6,-67%,1,-11%,2,-22%,2,-22%,6,-67%,1,-11%
xbox,nhl hitz 20-02,N/A,N/A,N/A,N/A,N/A,N/A,17,-85%,3,-15%,0,0%
gamecube,nhl hitz 20-02,6,-75%,1,-13%,1,-13%,9,-69%,4,-31%,0,0%
playstation-2,jak x: combat racing,81,-68%,30,-25%,8,-7%,30,-65%,15,-33%,1,-2%
wii,deca sports 2,N/A,N/A,N/A,N/A,N/A,N/A,0,0%,4,-57%,3,-43%
pc,scrapland,29,-64%,11,-24%,5,-11%,18,-49%,19,-51%,0,0%
wii-u,scrapland,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
playstation-4,the technomancer,81,-52%,30,-19%,45,-29%,7,-18%,24,-63%,7,-18%
xbox-one,the technomancer,39,-56%,16,-23%,15,-21%,4,-33%,8,-67%,0,0%
pc,the technomancer,100,-50%,49,-25%,50,-25%,1,-3%,25,-74%,8,-24%
playstation-2,tony hawk's underground,141,-87%,19,-12%,3,-2%,36,-95%,2,-5%,0,0%
xbox,tony hawk's underground,12,-71%,0,0%,5,-29%,28,-85%,5,-15%,0,0%
gamecube,tony hawk's underground,15,-60%,5,-20%,5,-20%,19,-100%,0,0%,0,0%
playstation-3,dmc: devil may cry,777,-52%,190,-13%,541,-36%,37,-93%,3,-8%,0,0%
xbox-360,dmc: devil may cry,770,-51%,197,-13%,534,-36%,62,-95%,3,-5%,0,0%
pc,dmc: devil may cry,1.4k,-65%,401,-19%,329,-16%,22,-100%,0,0%,0,0%
3ds,pokemon art academy,19,-76%,3,-12%,3,-12%,15,-68%,7,-32%,0,0%
ds,guinness world records: the videogame,2,-50%,2,-50%,0,0%,1,-25%,3,-75%,0,0%
playstation-3,the walking dead: survival instinct,34,-17%,46,-22%,126,-61%,0,0%,1,-7%,13,-93%
xbox-360,the walking dead: survival instinct,103,-24%,66,-15%,261,-61%,0,0%,2,-7%,28,-93%
pc,the walking dead: survival instinct,35,-11%,49,-15%,243,-74%,0,0%,1,-8%,12,-92%
wii-u,the walking dead: survival instinct,15,-31%,7,-14%,27,-55%,N/A,N/A,N/A,N/A,N/A,N/A
pc,chicago enforcer,1,-20%,3,-60%,1,-20%,N/A,N/A,N/A,N/A,N/A,N/A
wii-u,chicago enforcer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
playstation-3,f1 2012,44,-77%,4,-7%,9,-16%,20,-87%,3,-13%,0,0%
xbox-360,f1 2012,50,-66%,13,-17%,13,-17%,39,-93%,3,-7%,0,0%
pc,f1 2012,91,-64%,32,-23%,19,-13%,12,-80%,3,-20%,0,0%
playstation-2,tales of legendia,25,-66%,11,-29%,2,-5%,19,-51%,17,-46%,1,-3%
wii,valhalla knights: eldar saga,7,-58%,0,0%,5,-42%,0,0%,3,-18%,14,-82%
wii,super monkey ball: step & roll,8,-53%,5,-33%,2,-13%,2,-6%,30,-83%,4,-11%
playstation-3,naughty bear,12,-33%,12,-33%,12,-33%,0,0%,13,-42%,18,-58%
xbox-360,naughty bear,9,-23%,17,-43%,14,-35%,0,0%,18,-35%,33,-65%
ds,crash boom bang!,17,-33%,2,-4%,33,-63%,0,0%,3,-21%,11,-79%
ds,bust-a-move ds,3,-60%,1,-20%,1,-20%,9,-64%,5,-36%,0,0%
xbox-360,zumba fitness rush,3,-60%,0,0%,2,-40%,3,-43%,4,-57%,0,0%
playstation-2,wakeboarding unleashed featuring shaun murray,1,-25%,2,-50%,1,-25%,22,-96%,1,-4%,0,0%
xbox,wakeboarding unleashed featuring shaun murray,N/A,N/A,N/A,N/A,N/A,N/A,20,-87%,3,-13%,0,0%
xbox-360,the last remnant,19,-37%,20,-39%,12,-24%,14,-29%,32,-65%,3,-6%
pc,the last remnant,116,-64%,42,-23%,22,-12%,6,-26%,15,-65%,2,-9%
playstation-2,guitar hero encore: rocks the 80s,9,-35%,14,-54%,3,-12%,19,-38%,27,-54%,4,-8%
playstation-3,homefront,66,-33%,74,-37%,58,-29%,24,-40%,30,-50%,6,-10%
xbox-360,homefront,155,-35%,169,-38%,115,-26%,34,-40%,47,-55%,4,-5%
pc,homefront,177,-26%,285,-43%,207,-31%,13,-36%,20,-56%,3,-8%
playstation-2,nba ballers,4,-36%,6,-55%,1,-9%,40,-91%,4,-9%,0,0%
xbox,nba ballers,2,-50%,1,-25%,1,-25%,30,-86%,5,-14%,0,0%
playstation-3,the shoot,7,-41%,7,-41%,3,-18%,3,-8%,32,-82%,4,-10%
playstation-vita,dynasty warriors next,49,-64%,19,-25%,9,-12%,9,-26%,26,-74%,0,0%
playstation-3,john daly's prostroke golf,3,-30%,2,-20%,5,-50%,2,-9%,17,-74%,4,-17%
pc,john daly's prostroke golf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
xbox-series-x,earthworm jim 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
xbox-360,atelier iris 2: the azoth of destiny,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
playstation-2,medal of honor: rising sun,43,-51%,35,-42%,6,-7%,11,-37%,16,-53%,3,-10%
xbox,medal of honor: rising sun,1,-9%,8,-73%,2,-18%,8,-35%,13,-57%,2,-9%
gamecube,medal of honor: rising sun,4,-50%,3,-38%,1,-13%,10,-42%,13,-54%,1,-4%
pc,trine,392,-69%,158,-28%,15,-3%,43,-86%,7,-14%,0,0%
playstation-2,wwe smackdown! vs. raw 2006,79,-75%,25,-24%,2,-2%,39,-87%,6,-13%,0,0%
psp,wwe smackdown! vs. raw 2006,19,-73%,4,-15%,3,-12%,25,-83%,5,-17%,0,0%
playstation-2,dark cloud 2,142,-78%,22,-12%,19,-10%,37,-90%,4,-10%,0,0%
pc,test drive,8,-67%,4,-33%,0,0%,0,0%,4,-100%,0,0%
playstation-2,test drive,9,-50%,9,-50%,0,0%,9,-47%,10,-53%,0,0%
xbox,test drive,5,-63%,3,-38%,0,0%,6,-38%,10,-63%,0,0%
ds,super monkey ball: touch & roll,10,-67%,3,-20%,2,-13%,9,-23%,27,-68%,4,-10%
playstation-2,trivial pursuit unhinged,N/A,N/A,N/A,N/A,N/A,N/A,0,0%,5,-45%,6,-55%
wii,nanostray 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
playstation-3,sacred 2: fallen angel,15,-41%,16,-43%,6,-16%,16,-36%,27,-60%,2,-4%
xbox-360,sacred 2: fallen angel,23,-53%,13,-30%,7,-16%,21,-38%,34,-61%,1,-2%
pc,sacred 2: fallen angel,54,-39%,61,-45%,22,-16%,21,-51%,19,-46%,1,-2%
wii-u,maximum chase,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
playstation-3,scene it? bright lights! big screen!,1,-25%,3,-75%,0,0%,0,0%,11,-79%,3,-21%
xbox-360,scene it? bright lights! big screen!,1,-25%,1,-25%,2,-50%,0,0%,7,-70%,3,-30%
ios-iphoneipad,spray,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ds,wireway,N/A,N/A,N/A,N/A,N/A,N/A,0,0%,9,-100%,0,0%
playstation-3,rage,188,-48%,114,-29%,90,-23%,31,-84%,6,-16%,0,0%
xbox-360,rage,328,-50%,210,-32%,121,-18%,60,-78%,16,-21%,1,-1%
pc,rage,631,-35%,496,-28%,667,-37%,24,-75%,7,-22%,1,-3%
xbox-360,kinect sports,91,-67%,34,-25%,11,-8%,27,-53%,24,-47%,0,0%
