GPSID,GamePlatformID,game_title,platform,user_positive_count,user_positive_percent,user_mixed_count,user_mixed_percent,user_negative_count,user_negative_percent,critic_positive_count,critic_positive_percent,critic_mixed_count,critic_mixed_percent,critic_negative_count,critic_negative_percent
328,90,sonic heroes,gamecube,223.0,-0.64,102.0,-0.29,26.0,-0.07,25.0,-0.51,23.0,-0.47,1.0,-0.02
329,194,stuntman,playstation-2,10.0,-0.31,12.0,-0.38,10.0,-0.31,19.0,-0.51,14.0,-0.38,4.0,-0.11
330,50,stuntman,game-boy-advance,2.0,-0.5,1.0,-0.25,1.0,-0.25,6.0,-0.75,2.0,-0.25,0.0,0.0
331,39,etrian odyssey,ds,23.0,-0.74,6.0,-0.19,2.0,-0.06,16.0,-0.53,14.0,-0.47,0.0,0.0
332,193,futurama,playstation-2,10.0,-0.45,7.0,-0.32,5.0,-0.23,3.0,-0.14,15.0,-0.68,4.0,-0.18
333,474,futurama,xbox,2.0,-0.4,3.0,-0.6,0.0,0.0,2.0,-0.1,15.0,-0.71,4.0,-0.19
334,412,fifa soccer 10,wii,4.0,-0.33,5.0,-0.42,3.0,-0.25,10.0,-0.48,11.0,-0.52,0.0,0.0
335,336,fifa soccer 10,playstation-3,94.0,-0.67,29.0,-0.21,18.0,-0.13,56.0,-1.0,0.0,0.0,0.0,0.0
336,526,fifa soccer 10,xbox-360,87.0,-0.65,35.0,-0.26,12.0,-0.09,62.0,-0.98,1.0,-0.02,0.0,0.0
337,102,fifa soccer 10,pc,17.0,-0.31,23.0,-0.43,14.0,-0.26,5.0,-0.36,9.0,-0.64,0.0,0.0
340,388,fifa soccer 10,psp,3.0,-0.5,2.0,-0.33,1.0,-0.17,9.0,-1.0,0.0,0.0,0.0,0.0
341,196,armored core 2: another age,playstation-2,10.0,-0.83,0.0,0.0,2.0,-0.17,10.0,-0.63,6.0,-0.38,0.0,0.0
342,286,star ocean: the last hope,playstation-3,87.0,-0.76,15.0,-0.13,13.0,-0.11,29.0,-0.64,15.0,-0.33,1.0,-0.02
343,493,star ocean: the last hope,xbox-360,43.0,-0.51,23.0,-0.27,18.0,-0.21,33.0,-0.59,23.0,-0.41,0.0,0.0
344,283,ea sports mma,playstation-3,29.0,-0.57,11.0,-0.22,11.0,-0.22,34.0,-0.72,13.0,-0.28,0.0,0.0
345,494,ea sports mma,xbox-360,39.0,-0.71,11.0,-0.2,5.0,-0.09,48.0,-0.76,15.0,-0.24,0.0,0.0
346,37,super robot taisen og saga: endless frontier,ds,14.0,-0.78,1.0,-0.06,3.0,-0.17,12.0,-0.55,9.0,-0.41,1.0,-0.05
347,425,mario power tennis,wii,19.0,-0.51,15.0,-0.41,3.0,-0.08,10.0,-0.29,21.0,-0.62,3.0,-0.09
348,85,mario power tennis,gamecube,58.0,-0.75,18.0,-0.23,1.0,-0.01,37.0,-0.86,6.0,-0.14,0.0,0.0
349,433,animal crossing: amiibo festival,wii-u,73.0,-0.27,32.0,-0.12,161.0,-0.61,2.0,-0.1,10.0,-0.5,8.0,-0.4
350,280,2014 fifa world cup brazil,playstation-3,43.0,-0.36,30.0,-0.25,46.0,-0.39,17.0,-0.52,16.0,-0.48,0.0,0.0
351,498,2014 fifa world cup brazil,xbox-360,31.0,-0.31,23.0,-0.23,46.0,-0.46,16.0,-0.55,13.0,-0.45,0.0,0.0
352,499,alan wake,xbox-360,1000.0,-0.79,213.0,-0.16,61.0,-0.05,87.0,-0.87,13.0,-0.13,0.0,0.0
353,147,alan wake,pc,1600.0,-0.71,476.0,-0.22,155.0,-0.07,27.0,-0.9,3.0,-0.1,0.0,0.0
354,146,still life,pc,66.0,-0.66,27.0,-0.27,7.0,-0.07,16.0,-0.59,9.0,-0.33,2.0,-0.07
356,420,we ski,wii,2.0,-0.4,0.0,0.0,3.0,-0.6,6.0,-0.19,24.0,-0.75,2.0,-0.06
357,385,god of war: ghost of sparta,psp,819.0,-0.89,73.0,-0.08,27.0,-0.03,67.0,-0.92,6.0,-0.08,0.0,0.0
