GVID,GameID,Year,Genre,Publisher,developer,Total_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,user_review_count,critic_review_count
1142,1142,2011,Action,Sony,Sucker Punch,1.85,1.05,0.49,0.08,0.23,1369,90
1143,1143,2014,Action,Sony,Sucker Punch,2.78,1.27,0.97,0.07,0.47,4361,90
1144,1144,2009,Role-Playing,Sega,Y.K.,0.21,0.07,0.06,0.07,0.01,37,46
1145,1145,2008,Role-Playing,Square,Tri-Ace,0.7,0.34,0.18,0.12,0.06,55,60
1146,1146,2013,Fighting,Warner Bros. Interactive Entertainment,NetherRealm Studios,3.88,2.12,1.25,0.01,0.5,481,63
1147,1147,2006,Simulation,Rising Star Games,ArtePiazza,0.16,0.08,0.03,0.03,0.02,17,22
1148,1148,2005,Fighting,Namco Bandai Games,Eighting,0.26,0.13,0.1,0.0,0.03,12,14
1149,1149,2007,Role-Playing,Namco Bandai Games,Art,0.0999999999999999,0.09,0.0,0.0,0.01,7,13
1150,1150,2004,Role-Playing,Namco Bandai Games,Kamui,0.44,0.21,0.17,0.0,0.06,7,7
1151,1151,2012,Shooter,Namco Bandai Games,Saber Interactive,0.1399999999999999,0.0699999999999999,0.05,0.0,0.02,84,51
1152,1152,2009,Strategy,Sony,Novarama,0.79,0.17,0.51,0.0,0.11,27,32
1153,1153,2001,Shooter,THQ,Shin'en,0.46,0.33,0.12,0.0,0.01,7,15
1154,1154,2003,Shooter,Vivendi Games,Shin'en,0.12,0.09,0.03,0.0,0.0,10,13
1155,1155,2010,Action,Sega,Sega Studios San Francisco,1.72,0.77,0.72,0.0,0.23,27,35
1156,1156,2010,Puzzle,Rising Star Games,Prope,0.1,0.08,0.02,0.0,0.0,13,30
1157,1157,2008,Adventure,Kalypso Media,Legacy Interactive,0.02,0.0,0.02,0.0,0.0,20,25
1158,1158,2007,Action,Empire Interactive,Sidhe Interactive,0.51,0.23,0.19,0.0,0.09,21,24
1159,1159,2001,Role-Playing,Ubisoft,Genki,0.0999999999999999,0.05,0.04,0.0,0.01,16,16
1160,1160,2005,Role-Playing,Microsoft,BioWare,0.7,0.48,0.19,0.0,0.03,111,84
1161,1161,2004,Platform,Sony,Naughty Dog,1.85,1.33,0.49,0.0,0.03,406,55
1162,1162,2009,Platform,Sony,High Impact Games,1.05,0.4,0.44,0.0,0.21,63,47
1163,1163,2001,Platform,Sony,Naughty Dog,3.65,2.08,1.09,0.15,0.33,641,35
1164,1164,2003,Platform,Sony,Naughty Dog,2.78,1.68,0.74,0.0,0.36,452,47
1165,1165,2005,Racing,Sony,Naughty Dog,0.54,0.45,0.02,0.0,0.07,118,46
1166,1166,2001,Shooter,Electronic Arts,EA Redwood Shores,5.169999999999999,3.11,1.5,0.1,0.4599999999999999,53,27
1167,1167,2004,Shooter,Electronic Arts,EA Redwood Shores,3.53,1.72,1.37,0.09,0.35,24,51
1168,1168,2011,Adventure,Ubisoft,Ubisoft,0.16,0.07,0.07,0.0,0.02,7,22
1169,1169,2006,Action,THQ,Appaloosa Interactive,0.75,0.61,0.05,0.0,0.09,6,29
