RID,GameID,metascore,global_user_score_mean,user_score_mean
344,344,51,6.8,8.5
345,345,57,4.0,4.0
346,346,58,6.1,6.059
347,347,58,6.0,6.0
348,348,69,7.2,8.0
349,349,49,5.8,5.167
350,350,91,8.8,9.047
351,351,91,8.0,6.853
352,352,70,8.283,8.458
353,353,89,8.5,7.938
354,354,87,8.2,7.115
355,355,79,8.5,8.583
356,356,83,7.949,7.568
357,357,72,7.212,7.276
358,358,63,7.732,7.511
359,359,85,8.4,8.5
360,360,85,8.4,7.733
361,361,80,8.4,8.077
362,362,79,8.094,7.901
363,363,82,8.1,9.467
364,364,65,6.0,6.333
365,365,73,6.8,8.5
366,366,85,8.3,8.0
367,367,77,7.7,9.3
368,368,70,9.0,9.0
369,369,65,6.95,8.2
370,370,35,3.709,3.909
371,371,78,7.3,7.5
372,372,59,5.0,3.327
373,373,33,6.2,8.0
374,374,27,5.74,5.5
375,375,84,7.877,7.907
376,376,82,8.03,8.193
377,377,65,6.5,5.6
378,378,71,6.0,4.889
379,379,57,5.0,5.0
380,380,84,7.9,10.0
381,381,70,7.7,7.133
382,382,85,7.627,7.662
383,383,61,6.3,4.0
384,384,63,7.504,7.283
385,385,69,7.5,7.818
386,386,69,3.4,6.0
387,387,62,6.362,6.5
388,388,83,6.3,8.0
389,389,58,6.575,6.25
390,390,69,7.8,8.176
391,391,59,6.6,6.333
392,392,49,8.133,9.333
393,393,71,7.9,6.4
394,394,73,8.1,7.625
395,395,84,8.186,9.429
396,396,83,8.1,7.4
397,397,86,7.729,6.571
398,398,54,6.8,7.0
399,399,44,6.0,6.667
400,400,77,8.224,7.765
401,401,85,8.088,7.175
402,402,64,2.2,1.83
403,403,82,7.125,6.396
404,404,71,8.4,10.0
405,405,72,7.7,8.375
406,406,93,8.6,7.755
407,407,80,2.2,5.667
408,408,87,8.3,8.333
409,409,70,7.4,6.154
410,410,62,7.276,6.868
411,411,80,7.7,7.147
412,412,81,8.05,7.688
413,413,64,7.7,7.258
414,414,62,7.692,8.25
415,415,62,8.6,6.333
416,416,60,6.85,4.5
417,417,92,8.8,8.489
418,418,83,7.4,8.714
419,419,78,8.7,7.75
420,420,67,7.3,6.889
421,421,70,8.3,9.0
422,422,65,7.5,7.5
423,423,61,7.5,7.25
424,424,62,6.6,4.5
425,425,42,4.844,5.222
426,426,60,7.646,6.231
427,427,57,5.6,5.667
428,428,74,8.2,7.889
429,429,74,8.414,8.714
430,430,88,8.2,8.658
431,431,83,7.2,6.62
432,432,70,6.0,5.875
433,433,65,7.65,7.75
434,434,75,7.8,7.75
435,435,67,5.8,6.357
436,436,78,7.8,7.333
437,437,66,7.21,7.304
438,438,37,4.2,2.538
439,439,69,7.865,8.109
440,440,65,6.851,7.051
441,441,66,7.417,7.654
442,442,60,6.398,6.54
443,443,69,8.3,9.333
444,444,48,5.9,6.0
445,445,64,6.1,8.0
446,446,55,7.292,8.0
447,447,88,8.8,9.167
448,448,83,8.1,7.8
449,449,52,5.7,2.667
450,450,67,6.0,8.5
451,451,25,4.4,5.625
452,452,91,7.71,7.866
453,453,84,7.311,7.41
454,454,76,6.697,6.72
455,455,61,6.6,7.0
456,456,51,5.9,6.571
457,457,71,7.5,8.5
458,458,75,6.4,9.0
459,459,53,6.5,5.0
460,460,67,7.1,4.5
461,461,65,7.8,7.444
462,462,74,7.3,7.0
463,463,36,3.844,3.556
464,464,86,8.4,9.333
465,465,86,7.8,8.333
466,466,76,6.8,8.0
467,467,73,7.2,10.0
468,468,70,8.2,8.5
469,469,74,10.0,10.0
470,470,69,7.7,8.0
471,471,81,8.8,9.228
472,472,72,7.254,6.543
473,473,80,8.551,8.255
474,474,73,7.783,8.0
475,475,87,8.2,8.8
476,476,72,6.633,6.442
477,477,89,8.705,8.545
478,478,91,7.576,6.712
479,479,89,8.499,8.861
480,480,59,5.485,6.364
481,481,83,7.737,7.664
482,482,83,7.804,7.28
483,483,65,6.0,6.92
484,484,74,8.2,8.333
485,485,71,7.1,6.733
486,486,58,7.4,6.2
487,487,56,10.0,10.0
488,488,81,7.7,5.0
489,489,82,8.541,8.588
490,490,57,7.5,6.333
491,491,85,8.3,8.341
492,492,67,6.682,5.878
493,493,82,6.683,7.292
494,494,77,7.292,7.595
495,495,71,6.832,6.826
496,496,57,6.073,6.264
497,497,62,5.9,8.0
498,498,87,8.5,8.769
499,499,85,8.0,7.889
500,500,76,7.852,7.797
501,501,38,7.2,6.909
502,502,83,9.1,9.6
503,503,53,7.5,6.083
504,504,85,7.456,7.62
505,505,79,6.842,6.212
506,506,72,6.969,7.13
507,507,78,6.9,7.354
508,508,61,5.9,4.75
509,509,89,8.171,8.315
510,510,90,8.601,8.91
511,511,78,6.375,6.101
512,512,73,6.4,7.0
513,513,54,5.1,6.75
514,514,54,8.0,7.667
515,515,61,6.456,7.222
516,516,72,7.9,5.75
517,517,68,7.784,7.111
518,518,62,7.193,7.312
519,519,61,8.2,8.0
520,520,71,7.9,7.0
521,521,76,7.975,8.75
522,522,50,3.8,2.333
523,523,67,7.55,8.25
524,524,80,7.8,8.143
525,525,83,8.595,9.179
526,526,64,6.835,6.367
527,527,61,7.557,8.214
528,528,75,6.933,7.778
529,529,72,7.5,6.6
530,530,76,7.5,6.714
531,531,70,8.6,8.308
532,532,92,8.4,7.239
533,533,74,7.836,6.852
534,534,54,1.0,1.0
535,535,76,5.453,5.593
536,536,86,5.79,6.385
537,537,70,7.628,7.675
