SSID,GameID,vader_sentiment_mean,textblob_sentiment_mean,hf_sentiment_mean
343,343,0.767,0.128,0.573
344,344,0.3,0.097,-0.614
345,345,-0.9,-0.168,-1.0
346,346,0.543,0.01,-0.174
347,347,0.95,0.367,-0.995
348,348,0.465,0.046,-0.495
349,349,0.395,-0.027,-0.295
350,350,0.694,0.172,0.663
351,351,0.315,0.055,0.174
352,352,0.645,0.193,0.566
353,353,0.463,0.071,0.318
354,354,0.414,0.004,0.156
355,355,0.581,0.145,0.433
356,356,0.468,0.07,0.338
357,357,0.606,0.075,0.278
358,358,0.515,0.069,0.094
359,359,0.611,0.163,0.432
360,360,0.522,0.141,0.312
361,361,0.664,0.077,0.143
362,362,0.586,0.069,0.338
363,363,0.937,0.219,0.741
364,364,0.756,0.085,-0.153
365,365,0.784,-0.087,0.033
366,366,0.59,0.071,0.233
367,367,0.698,0.064,0.177
368,368,0.637,0.3,1.0
369,369,0.145,0.036,-0.356
370,370,0.21,-0.107,-0.108
371,371,0.513,0.115,0.527
372,372,0.159,-0.098,-0.603
373,373,0.052,0.011,-0.796
374,374,0.258,-0.106,-0.16
375,375,0.798,0.071,0.187
376,376,0.66,0.131,0.49
377,377,0.233,0.045,-0.189
378,378,0.582,-0.021,-0.499
379,379,0.178,-0.094,-0.993
380,380,0.131,-0.065,0.095
381,381,0.473,0.003,-0.419
382,382,0.578,0.086,0.087
383,383,0.115,-0.061,-0.988
384,384,0.502,0.051,-0.031
385,385,0.217,0.01,0.091
386,386,-0.583,0.22,0.971
387,387,0.563,-0.013,0.167
388,388,0.76,0.048,0.204
389,389,0.913,0.136,0.462
390,390,0.481,0.065,0.011
391,391,0.381,0.011,-0.744
392,392,0.634,0.112,0.984
393,393,0.181,-0.061,-0.173
394,394,0.351,0.066,0.503
395,395,0.862,0.114,0.996
396,396,0.673,0.11,0.633
397,397,0.441,0.091,-0.129
398,398,0.24,0.028,-0.004
399,399,-0.149,-0.162,-0.651
400,400,0.634,0.141,0.067
401,401,0.584,0.067,0.073
402,402,0.048,-0.132,-0.735
403,403,0.432,0.003,-0.031
404,404,0.93,0.109,0.988
405,405,0.418,0.186,0.268
406,406,0.514,0.141,0.413
407,407,0.277,0.006,-0.059
408,408,0.681,0.192,0.324
409,409,0.384,0.04,0.097
410,410,0.611,0.005,-0.144
411,411,-0.145,-0.074,-0.387
412,412,-0.015,0.003,0.137
413,413,0.679,0.108,-0.096
414,414,0.602,0.058,0.765
415,415,0.353,-0.007,0.335
416,416,0.023,0.039,0.125
417,417,0.606,0.048,0.273
418,418,0.78,0.121,0.203
419,419,0.465,0.076,0.511
420,420,0.666,0.151,0.716
421,421,0.778,-0.066,0.029
422,422,0.925,-0.002,0.969
423,423,0.781,-0.032,-0.005
